AnimalID,OutcomeType,AnimalType,SexuponOutcome,AgeuponOutcome,year,month,neutralized
A690902,Adoption,0,1,0.16666666666666666,2014,11,1.0
A712979,Transfer,0,0,0.019230769230769232,2015,10,0.0
A707687,Adoption,0,1,0.16666666666666666,2015,8,1.0
A683443,Transfer,1,0,1.0,2014,7,0.0
A597644,Return_to_owner,1,1,4.0,2014,9,1.0
A682784,Adoption,1,0,2.0,2014,7,1.0
A709863,Transfer,0,0,1.0,2015,8,0.0
A678506,Euthanasia,1,1,11.0,2014,5,1.0
A713029,Transfer,0,1,0.08333333333333333,2015,10,0.0
A712236,Adoption,1,1,2.0,2015,9,1.0
A683961,Transfer,0,0,0.038461538461538464,2014,7,
A714740,Return_to_owner,1,1,6.0,2015,10,1.0
A691847,Transfer,1,0,0.5,2014,12,1.0
A711392,Transfer,1,1,0.16666666666666666,2015,9,0.0
A705258,Transfer,0,0,0.16666666666666666,2015,6,
A678172,Adoption,1,1,1.0,2014,5,1.0
A676736,Adoption,1,0,0.16666666666666666,2014,4,1.0
A701575,Transfer,1,0,2.0,2016,1,1.0
A674913,Adoption,1,1,3.0,2014,3,1.0
A706446,Return_to_owner,0,1,1.0,2015,8,0.0
A669540,Return_to_owner,1,1,4.0,2013,12,1.0
A709371,Transfer,1,1,2.0,2015,8,1.0
A681410,Adoption,0,1,0.25,2014,6,1.0
A675021,Euthanasia,0,1,1.0,2014,3,0.0
A704179,Adoption,1,0,0.16666666666666666,2015,6,1.0
A717839,Transfer,0,1,2.0,2015,12,1.0
A700740,Adoption,1,0,1.0,2015,12,1.0
A712376,Euthanasia,0,0,0.038461538461538464,2015,9,
A703952,Transfer,0,0,0.07692307692307693,2015,5,
A713690,Transfer,0,0,2.0,2015,10,0.0
A691838,Euthanasia,1,0,12.0,2015,2,1.0
A687789,Adoption,1,0,1.0,2014,9,1.0
A704754,Adoption,0,0,0.16666666666666666,2015,7,1.0
A707531,Transfer,0,0,0.038461538461538464,2015,7,0.0
A677594,Transfer,1,1,0.25,2014,4,0.0
A667155,Adoption,0,1,0.25,2013,11,1.0
A717147,Adoption,1,0,0.4166666666666667,2015,12,1.0
A687012,Adoption,1,1,3.0,2016,2,1.0
A676200,Transfer,1,1,7.0,2014,4,1.0
A676680,Euthanasia,1,1,2.0,2015,2,1.0
A688443,Adoption,0,1,0.3333333333333333,2014,12,1.0
A715261,Adoption,1,1,9.0,2015,11,1.0
A717008,Transfer,1,0,0.5833333333333334,2015,12,1.0
A683416,Adoption,0,0,0.16666666666666666,2014,7,1.0
A690658,Transfer,0,0,3.0,2014,10,0.0
A695155,Adoption,1,0,3.0,2015,1,1.0
A679721,Adoption,1,0,5.0,2014,5,1.0
A719113,Transfer,1,0,5.0,2016,1,1.0
A665298,Transfer,0,1,0.038461538461538464,2013,10,0.0
A708351,Transfer,0,0,0.038461538461538464,2015,7,
A670681,Transfer,0,1,4.0,2014,1,1.0
A699990,Return_to_owner,1,0,4.0,2015,4,1.0
A707767,Adoption,0,0,0.16666666666666666,2015,7,1.0
A668362,Return_to_owner,1,1,2.0,2013,12,1.0
A674577,Adoption,1,0,2.0,2014,3,1.0
A674802,Return_to_owner,1,0,9.0,2014,3,1.0
A672410,Return_to_owner,1,0,5.0,2014,2,1.0
A657753,Euthanasia,1,0,1.0,2013,12,1.0
A663339,Adoption,1,1,2.0,2013,10,1.0
A678229,Transfer,0,0,0.057692307692307696,2014,5,0.0
A698694,Transfer,1,0,0.4166666666666667,2015,7,0.0
A695971,Euthanasia,0,0,6.0,2015,1,0.0
A674233,Adoption,1,1,1.0,2014,3,1.0
A713392,Transfer,1,0,0.25,2015,11,0.0
A713968,Transfer,0,1,0.08333333333333333,2015,10,0.0
A701428,Return_to_owner,1,1,3.0,2015,5,1.0
A676146,Return_to_owner,1,0,5.0,2014,4,1.0
A679259,Adoption,1,0,8.0,2014,5,1.0
A688223,Adoption,1,1,0.16666666666666666,2014,9,1.0
A691968,Euthanasia,0,1,7.0,2014,11,0.0
A688871,Adoption,0,1,0.16666666666666666,2014,10,0.0
A674530,Adoption,1,0,5.0,2014,9,1.0
A718604,Adoption,1,0,1.0,2016,1,1.0
A686520,Transfer,0,0,0.25,2014,8,0.0
A699094,Return_to_owner,1,0,2.0,2015,3,1.0
A394547,Return_to_owner,1,1,9.0,2015,1,1.0
A662685,Adoption,1,1,3.0,2015,10,1.0
A713977,Return_to_owner,0,1,3.0,2015,10,1.0
A707781,Adoption,1,1,1.0,2016,1,1.0
A694699,Transfer,1,1,2.0,2015,1,1.0
A696350,Return_to_owner,1,1,1.0,2015,12,1.0
A679102,Transfer,0,0,2.0,2014,6,1.0
A698341,Return_to_owner,1,1,2.0,2015,5,1.0
A681481,Transfer,0,1,2.0,2014,6,0.0
A714177,Transfer,0,0,0.25,2015,10,
A689601,Adoption,1,1,0.08333333333333333,2014,11,1.0
A685062,Adoption,0,0,0.16666666666666666,2014,8,1.0
A672453,Adoption,0,0,0.8333333333333334,2014,2,1.0
A719480,Transfer,0,1,2.0,2016,2,1.0
A702880,Adoption,0,1,0.16666666666666666,2015,6,1.0
A714494,Adoption,1,0,0.5,2015,11,1.0
A711853,Adoption,0,1,0.16666666666666666,2015,11,1.0
A688720,Adoption,1,1,1.0,2014,9,1.0
A689690,Transfer,1,1,0.5,2014,10,0.0
A679915,Adoption,0,1,1.0,2014,6,1.0
A687991,Transfer,0,0,0.057692307692307696,2014,9,0.0
A707896,Adoption,0,0,2.0,2016,2,1.0
A702014,Adoption,1,1,0.9166666666666666,2015,11,1.0
A673626,Transfer,1,0,0.25,2014,3,1.0
A652097,Return_to_owner,1,1,2.0,2014,2,1.0
A685180,Transfer,1,0,2.0,2014,9,1.0
A707442,Adoption,1,0,2.0,2015,8,1.0
A682599,Adoption,0,1,0.3333333333333333,2014,7,1.0
A685452,Transfer,1,1,0.3333333333333333,2014,8,0.0
A688067,Transfer,0,1,0.4166666666666667,2014,9,0.0
A714069,Adoption,0,0,0.16666666666666666,2015,12,1.0
A705924,Transfer,1,0,7.0,2015,7,1.0
A717167,Adoption,0,0,4.0,2016,1,1.0
A711639,Transfer,0,1,0.057692307692307696,2015,9,0.0
A716760,Adoption,1,0,0.5,2015,12,1.0
A709048,Adoption,1,1,0.4166666666666667,2015,8,0.0
A719048,Return_to_owner,1,1,8.0,2016,1,1.0
A707437,Adoption,0,0,0.16666666666666666,2015,7,1.0
A706387,Adoption,0,1,0.08333333333333333,2015,7,1.0
A720668,Return_to_owner,1,1,0.4166666666666667,2016,2,1.0
A679341,Transfer,0,0,0.08333333333333333,2014,5,0.0
A690519,Transfer,0,0,0.3333333333333333,2014,10,0.0
A708769,Adoption,1,1,1.0,2015,8,1.0
A681462,Adoption,1,0,2.0,2014,8,1.0
A666444,Transfer,0,1,11.0,2013,11,1.0
A701153,Adoption,1,0,0.16666666666666666,2015,6,1.0
A710071,Transfer,0,0,0.16666666666666666,2015,9,1.0
A714602,Adoption,0,1,0.16666666666666666,2015,10,0.0
A700707,Adoption,1,1,0.08333333333333333,2015,4,1.0
A702563,Return_to_owner,1,1,7.0,2015,5,1.0
A679441,Transfer,0,0,0.010958904109589041,2014,5,0.0
A715729,Return_to_owner,1,0,4.0,2015,11,1.0
A716575,Transfer,1,1,2.0,2015,12,1.0
A714462,Return_to_owner,1,1,1.0,2015,11,1.0
A717429,Return_to_owner,1,0,2.0,2015,12,1.0
A687336,Transfer,0,1,0.07692307692307693,2014,9,0.0
A713364,Transfer,0,1,1.0,2015,11,0.0
A701999,Adoption,1,1,2.0,2015,5,1.0
A664304,Transfer,0,0,0.8333333333333334,2013,10,0.0
A698066,Transfer,1,1,4.0,2015,3,1.0
A680585,Adoption,0,1,0.3333333333333333,2014,7,1.0
A699715,Transfer,1,1,6.0,2015,5,1.0
A702246,Adoption,1,1,0.75,2015,5,1.0
A711918,Adoption,1,1,3.0,2015,9,1.0
A676430,Adoption,0,1,0.6666666666666666,2014,11,1.0
A677577,Adoption,1,1,0.8333333333333334,2014,5,1.0
A683666,Transfer,0,0,1.0,2015,9,1.0
A713754,Adoption,1,0,1.0,2015,10,1.0
A703631,Adoption,1,0,1.0,2015,7,1.0
A676209,Adoption,1,0,0.25,2014,7,1.0
A667508,Return_to_owner,1,0,6.0,2013,11,0.0
A671105,Transfer,0,0,1.0,2014,1,
A676056,Return_to_owner,1,0,2.0,2014,4,1.0
A667963,Adoption,1,1,5.0,2013,11,1.0
A702207,Euthanasia,0,0,12.0,2015,5,1.0
A672065,Adoption,1,1,2.0,2014,4,1.0
A688852,Adoption,1,0,6.0,2014,10,1.0
A705885,Adoption,0,0,0.25,2015,6,1.0
A670949,Return_to_owner,1,1,0.6666666666666666,2014,2,1.0
A665666,Transfer,0,0,1.0,2013,12,1.0
A714575,Transfer,0,1,15.0,2015,10,0.0
A690480,Transfer,1,1,0.057692307692307696,2014,10,0.0
A691636,Adoption,1,0,0.4166666666666667,2014,11,1.0
A678482,Adoption,1,0,2.0,2014,5,1.0
A687785,Adoption,1,1,2.0,2014,12,1.0
A716839,Return_to_owner,1,0,2.0,2015,11,0.0
A718547,Adoption,1,1,2.0,2016,1,1.0
A687989,Transfer,0,1,0.057692307692307696,2014,9,0.0
A694408,Transfer,1,1,1.0,2015,5,1.0
A698940,Transfer,0,0,2.0,2015,3,0.0
A666074,Transfer,0,0,0.07692307692307693,2013,10,0.0
A675549,Transfer,1,0,4.0,2014,4,1.0
A682131,Transfer,0,0,0.057692307692307696,2014,6,0.0
A674737,Adoption,0,0,0.16666666666666666,2014,5,0.0
A719876,Transfer,1,1,1.0,2016,2,1.0
A676626,Adoption,1,1,0.16666666666666666,2014,5,1.0
A666478,Adoption,1,1,1.0,2013,11,1.0
A683507,Adoption,1,1,3.0,2014,7,1.0
A487470,Euthanasia,1,0,9.0,2014,1,1.0
A665661,Return_to_owner,0,1,2.0,2015,9,1.0
A668260,Transfer,1,1,5.0,2013,12,1.0
A716964,Return_to_owner,1,0,2.0,2015,11,0.0
A701029,Return_to_owner,1,0,2.0,2015,5,1.0
A668506,Return_to_owner,1,0,7.0,2015,11,1.0
A684709,Transfer,0,1,1.0,2014,7,0.0
A616229,Adoption,0,1,6.0,2015,11,1.0
A680336,Adoption,0,0,0.16666666666666666,2014,7,1.0
A701898,Return_to_owner,1,1,1.0,2015,5,1.0
A666971,Adoption,0,0,0.16666666666666666,2013,11,1.0
A691605,Return_to_owner,1,1,6.0,2014,11,1.0
A703244,Transfer,0,0,0.16666666666666666,2015,5,0.0
A705111,Adoption,1,1,2.0,2015,6,1.0
A685460,Adoption,0,0,7.0,2014,8,1.0
A716890,Adoption,0,1,0.25,2015,12,1.0
A715741,Adoption,1,0,3.0,2015,11,1.0
A676334,Transfer,0,1,2.0,2014,4,0.0
A668122,Adoption,1,1,7.0,2013,12,1.0
A702356,Euthanasia,0,0,0.08333333333333333,2015,5,0.0
A664842,Return_to_owner,1,1,2.0,2013,11,1.0
A709067,Return_to_owner,1,1,0.4166666666666667,2015,8,0.0
A608918,Transfer,1,0,4.0,2015,6,1.0
A651596,Return_to_owner,1,0,2.0,2014,3,1.0
A720190,Transfer,1,1,7.0,2016,2,1.0
A676609,Adoption,1,0,1.0,2014,7,1.0
A666504,Transfer,0,0,0.08333333333333333,2013,12,1.0
A693272,Adoption,1,0,0.08333333333333333,2015,1,1.0
A711607,Adoption,0,0,0.16666666666666666,2015,9,1.0
A713337,Transfer,0,1,3.0,2015,10,0.0
A672758,Transfer,1,1,4.0,2014,7,1.0
A658690,Adoption,1,1,1.0,2013,10,1.0
A708390,Adoption,1,1,2.0,2015,8,1.0
A703383,Transfer,1,1,10.0,2015,5,1.0
A689749,Adoption,0,0,0.16666666666666666,2014,10,1.0
A699816,Adoption,1,1,10.0,2015,4,1.0
A701791,Adoption,0,1,2.0,2015,7,1.0
A625690,Return_to_owner,1,1,7.0,2014,7,1.0
A686406,Adoption,1,0,1.0,2014,8,1.0
A710318,Transfer,1,0,5.0,2015,9,1.0
A698972,Return_to_owner,1,1,6.0,2015,3,1.0
A710380,Transfer,0,0,0.019230769230769232,2015,8,
A683309,Euthanasia,1,1,7.0,2014,7,1.0
A640316,Adoption,1,0,1.0,2013,10,1.0
A682760,Adoption,1,0,1.0,2014,7,1.0
A701707,Transfer,0,1,0.038461538461538464,2015,5,0.0
A669534,Transfer,0,1,1.0,2013,12,0.0
A588218,Return_to_owner,1,0,5.0,2014,12,1.0
A669795,Return_to_owner,1,1,2.0,2014,8,1.0
A674448,Adoption,1,0,0.8333333333333334,2014,3,1.0
A701647,Transfer,0,1,0.25,2015,5,0.0
A672467,Adoption,1,0,0.75,2014,2,1.0
A712244,Transfer,0,1,0.08333333333333333,2015,9,0.0
A677462,Transfer,0,0,0.0,2014,4,
A715761,Transfer,0,1,5.0,2015,11,1.0
A720860,Adoption,1,1,0.6666666666666666,2016,2,1.0
A701337,Transfer,1,0,1.0,2015,4,0.0
A710881,Adoption,0,1,0.16666666666666666,2015,10,1.0
A663948,Return_to_owner,0,0,0.25,2013,10,1.0
A699819,Return_to_owner,1,0,14.0,2015,4,0.0
A674638,Return_to_owner,1,0,7.0,2014,3,1.0
A718743,Adoption,1,0,2.0,2016,1,1.0
A714820,Transfer,1,1,0.5,2015,11,1.0
A667613,Adoption,1,0,0.9166666666666666,2014,1,1.0
A696059,Adoption,1,0,3.0,2015,2,1.0
A690806,Transfer,0,1,0.16666666666666666,2014,11,0.0
A676494,Adoption,1,0,1.0,2014,4,1.0
A689138,Euthanasia,0,1,0.07692307692307693,2014,9,0.0
A599155,Euthanasia,1,0,4.0,2015,3,1.0
A665587,Adoption,0,0,8.0,2013,11,1.0
A663555,Adoption,0,1,0.25,2013,10,1.0
A691345,Adoption,1,1,0.16666666666666666,2014,11,1.0
A685242,Adoption,0,1,0.3333333333333333,2014,8,1.0
A674659,Euthanasia,1,0,2.0,2014,3,0.0
A683609,Return_to_owner,1,0,6.0,2014,7,1.0
A695710,Transfer,1,1,0.9166666666666666,2015,8,1.0
A713063,Transfer,1,1,1.0,2015,10,1.0
A667520,Transfer,1,0,4.0,2013,11,1.0
A685145,Adoption,0,0,0.16666666666666666,2014,9,1.0
A716488,Transfer,1,0,2.0,2015,11,1.0
A667537,Adoption,1,1,0.16666666666666666,2013,11,1.0
A694601,Adoption,0,0,0.5,2015,1,1.0
A638060,Adoption,0,0,8.0,2015,8,1.0
A672067,Return_to_owner,0,0,3.0,2014,2,1.0
A684664,Adoption,1,0,2.0,2014,8,1.0
A691531,Transfer,1,0,0.16666666666666666,2014,11,0.0
A688600,Transfer,0,1,0.057692307692307696,2014,9,0.0
A704032,Adoption,0,1,0.16666666666666666,2015,6,1.0
A703630,Adoption,1,0,4.0,2015,6,1.0
A668671,Transfer,0,0,5.0,2013,12,1.0
A696247,Adoption,1,1,2.0,2015,11,1.0
A664380,Transfer,0,1,0.5,2013,10,0.0
A678185,Transfer,1,1,2.0,2014,5,1.0
A687055,Return_to_owner,1,1,10.0,2014,9,1.0
A693594,Transfer,0,0,0.5,2014,12,0.0
A675563,Transfer,0,1,0.16666666666666666,2014,4,0.0
A696819,Adoption,1,0,0.5,2015,2,1.0
A671201,Return_to_owner,1,0,8.0,2014,1,1.0
A715573,Adoption,1,0,0.5,2015,11,1.0
A685899,Transfer,0,0,0.25,2014,8,0.0
A669510,Adoption,1,1,1.0,2014,1,1.0
A697892,Adoption,1,1,1.0,2015,3,1.0
A678958,Adoption,1,0,0.16666666666666666,2014,5,1.0
A679113,Transfer,0,0,0.038461538461538464,2014,5,
A671079,Adoption,1,1,2.0,2014,1,1.0
A687180,Adoption,0,1,0.16666666666666666,2014,9,1.0
A686632,Return_to_owner,0,0,0.75,2014,9,1.0
A693999,Transfer,1,1,4.0,2014,12,1.0
A691614,Adoption,1,0,0.3333333333333333,2014,11,1.0
A683070,Transfer,0,0,0.00821917808219178,2014,7,0.0
A703781,Transfer,1,0,6.0,2015,5,0.0
A668803,Adoption,1,1,0.16666666666666666,2014,1,1.0
A675983,Transfer,0,1,0.6666666666666666,2014,4,0.0
A684825,Transfer,0,0,0.08333333333333333,2014,8,0.0
A667828,Transfer,0,1,0.3333333333333333,2013,11,0.0
A707611,Adoption,0,1,0.16666666666666666,2015,7,0.0
A677885,Return_to_owner,1,1,2.0,2014,5,0.0
A675622,Adoption,1,0,0.3333333333333333,2014,4,1.0
A720143,Transfer,0,0,1.0,2016,2,0.0
A701793,Adoption,0,1,0.25,2015,7,1.0
A682824,Transfer,0,0,0.16666666666666666,2014,7,0.0
A711494,Adoption,0,1,0.3333333333333333,2015,12,1.0
A686319,Adoption,1,0,5.0,2015,6,1.0
A671251,Return_to_owner,1,1,2.0,2014,1,1.0
A684978,Transfer,0,1,0.038461538461538464,2014,7,0.0
A689449,Adoption,0,1,0.16666666666666666,2014,11,1.0
A715812,Adoption,1,1,0.8333333333333334,2015,11,1.0
A681003,Transfer,1,0,2.0,2014,6,1.0
A715346,Adoption,1,1,0.8333333333333334,2015,11,1.0
A683732,Transfer,0,0,0.07692307692307693,2014,7,0.0
A679956,Return_to_owner,1,0,1.0,2014,6,1.0
A695297,Adoption,0,1,0.5833333333333334,2015,1,1.0
A695950,Adoption,1,1,2.0,2015,2,1.0
A694278,Transfer,1,1,7.0,2015,1,1.0
A707887,Adoption,0,0,0.16666666666666666,2015,7,1.0
A710227,Euthanasia,0,0,12.0,2015,8,1.0
A686918,Transfer,1,1,3.0,2014,9,0.0
A693739,Transfer,0,1,0.25,2014,12,1.0
A711807,Adoption,1,1,2.0,2015,10,1.0
A677157,Return_to_owner,1,1,12.0,2014,4,0.0
A697921,Adoption,1,1,1.0,2015,3,1.0
A686691,Transfer,1,0,3.0,2014,8,1.0
A678627,Adoption,0,1,0.08333333333333333,2014,5,1.0
A698117,Transfer,1,0,0.01643835616438356,2015,3,
A656110,Return_to_owner,1,1,0.75,2013,11,1.0
A690723,Adoption,0,1,0.16666666666666666,2014,11,1.0
A678099,Euthanasia,1,0,2.0,2015,6,1.0
A717989,Return_to_owner,1,0,7.0,2015,12,1.0
A673784,Transfer,1,0,0.3333333333333333,2014,3,1.0
A699927,Adoption,0,0,10.0,2015,5,1.0
A671889,Return_to_owner,1,1,5.0,2014,2,1.0
A697627,Adoption,1,1,2.0,2015,3,1.0
A685945,Adoption,1,0,5.0,2014,9,1.0
A689951,Adoption,0,0,0.4166666666666667,2014,10,1.0
A699499,Adoption,0,0,1.0,2015,4,1.0
A715735,Transfer,1,0,1.0,2015,11,0.0
A688501,Transfer,0,0,0.3333333333333333,2014,12,1.0
A672263,Transfer,1,1,2.0,2014,2,1.0
A672744,Euthanasia,1,0,3.0,2014,4,0.0
A701165,Transfer,0,0,0.07692307692307693,2015,4,0.0
A702973,Transfer,0,0,0.057692307692307696,2015,5,
A705338,Transfer,0,1,0.057692307692307696,2015,6,0.0
A696609,Transfer,1,1,2.0,2015,7,1.0
A714481,Adoption,1,0,1.0,2015,11,1.0
A685178,Transfer,0,0,0.038461538461538464,2014,8,0.0
A689596,Adoption,1,0,2.0,2014,10,1.0
A714546,Return_to_owner,1,0,0.75,2015,10,0.0
A671352,Adoption,1,0,3.0,2014,1,1.0
A705656,Euthanasia,0,1,0.08333333333333333,2015,6,0.0
A695943,Adoption,1,0,2.0,2015,2,1.0
A719517,Transfer,0,0,2.0,2016,1,1.0
A682535,Transfer,1,0,0.3333333333333333,2014,7,1.0
A713263,Return_to_owner,1,0,3.0,2015,10,0.0
A681679,Transfer,1,0,1.0,2014,12,1.0
A687906,Transfer,0,0,0.08333333333333333,2014,9,0.0
A678536,Adoption,1,1,1.0,2014,5,1.0
A718585,Transfer,1,0,0.16666666666666666,2016,1,1.0
A543073,Return_to_owner,1,1,9.0,2015,5,1.0
A697959,Adoption,1,0,2.0,2015,5,1.0
A715378,Adoption,1,1,0.5,2015,11,1.0
A697281,Adoption,1,0,0.25,2015,3,1.0
A681576,Adoption,1,0,0.08333333333333333,2014,7,1.0
A716400,Transfer,1,1,1.0,2015,11,0.0
A677460,Adoption,1,1,2.0,2014,5,1.0
A675049,Return_to_owner,1,1,3.0,2014,3,1.0
A710655,Adoption,0,0,0.16666666666666666,2015,10,0.0
A660046,Return_to_owner,1,1,2.0,2014,3,1.0
A660910,Return_to_owner,1,0,2.0,2013,10,1.0
A686377,Adoption,1,0,0.16666666666666666,2014,8,1.0
A679631,Euthanasia,0,1,12.0,2014,7,1.0
A671682,Transfer,0,0,2.0,2014,1,1.0
A695654,Euthanasia,1,1,0.6666666666666666,2015,1,0.0
A718566,Euthanasia,0,1,10.0,2016,1,0.0
A680351,Adoption,0,0,0.16666666666666666,2014,7,1.0
A680506,Adoption,1,0,0.25,2014,6,1.0
A650694,Return_to_owner,1,0,1.0,2013,12,1.0
A681414,Transfer,0,1,2.0,2014,6,0.0
A714972,Adoption,0,0,0.16666666666666666,2015,11,1.0
A682833,Adoption,0,1,0.25,2014,9,1.0
A698953,Adoption,1,1,7.0,2015,3,1.0
A696584,Adoption,1,1,2.0,2015,3,1.0
A690020,Return_to_owner,1,1,0.3333333333333333,2014,10,0.0
A716340,Adoption,0,1,0.16666666666666666,2015,12,1.0
A707004,Adoption,0,0,0.25,2015,9,1.0
A667031,Transfer,0,1,2.0,2013,12,1.0
A667129,Adoption,0,1,0.5,2013,12,1.0
A700119,Transfer,0,1,0.010958904109589041,2015,4,0.0
A676270,Adoption,0,1,0.25,2014,7,1.0
A684362,Adoption,0,1,0.4166666666666667,2014,11,1.0
A712984,Transfer,0,0,0.16666666666666666,2015,10,1.0
A688544,Transfer,0,1,0.08333333333333333,2014,9,0.0
A663346,Euthanasia,1,1,1.0,2013,11,1.0
A665221,Transfer,1,0,0.08333333333333333,2013,10,0.0
A667366,Return_to_owner,1,1,3.0,2013,11,1.0
A657652,Adoption,1,0,3.0,2014,6,1.0
A611032,Return_to_owner,1,0,6.0,2014,8,0.0
A707464,Adoption,1,0,0.6666666666666666,2015,7,0.0
A687966,Adoption,0,0,0.3333333333333333,2014,9,1.0
A643703,Return_to_owner,1,0,3.0,2014,3,1.0
A668595,Return_to_owner,1,0,0.07692307692307693,2013,12,0.0
A716197,Return_to_owner,0,1,0.16666666666666666,2016,1,1.0
A713418,Transfer,1,0,0.16666666666666666,2015,10,0.0
A711562,Euthanasia,1,0,1.0,2015,9,0.0
A716766,Return_to_owner,1,0,5.0,2015,11,1.0
A616576,Return_to_owner,1,1,7.0,2015,12,1.0
A705109,Adoption,0,1,0.16666666666666666,2015,6,1.0
A663819,Return_to_owner,1,0,3.0,2015,11,1.0
A689629,Adoption,0,1,0.08333333333333333,2014,10,0.0
A713084,Adoption,1,0,6.0,2015,10,1.0
A699468,Transfer,1,1,0.16666666666666666,2015,4,0.0
A700335,Euthanasia,1,0,2.0,2015,7,1.0
A713668,Transfer,0,0,0.038461538461538464,2015,10,
A695428,Transfer,0,1,1.0,2015,1,0.0
A653055,Return_to_owner,1,1,2.0,2015,2,1.0
A682724,Adoption,0,0,0.16666666666666666,2014,7,1.0
A713886,Adoption,0,0,0.16666666666666666,2015,10,1.0
A668396,Euthanasia,0,0,8.0,2013,12,1.0
A717176,Transfer,1,0,0.019230769230769232,2015,12,
A707573,Return_to_owner,1,0,12.0,2015,7,1.0
A690543,Return_to_owner,1,1,1.0,2015,3,1.0
A704459,Return_to_owner,1,1,11.0,2015,6,1.0
A687643,Transfer,0,1,0.038461538461538464,2014,9,0.0
A675640,Return_to_owner,1,0,2.0,2014,4,1.0
A694435,Transfer,1,0,2.0,2015,1,1.0
A668653,Adoption,1,0,2.0,2015,11,1.0
A705804,Return_to_owner,1,0,3.0,2015,6,1.0
A706506,Transfer,0,0,0.0136986301369863,2015,6,
A702756,Euthanasia,0,0,0.057692307692307696,2015,5,0.0
A674264,Adoption,1,1,0.8333333333333334,2014,3,1.0
A665741,Return_to_owner,0,1,7.0,2014,1,1.0
A510475,Return_to_owner,1,0,7.0,2014,7,1.0
A641103,Return_to_owner,1,0,3.0,2015,12,0.0
A660275,Return_to_owner,1,1,2.0,2013,11,1.0
A716089,Return_to_owner,0,0,2.0,2015,12,1.0
A717706,Return_to_owner,1,1,1.0,2015,12,1.0
A716729,Adoption,0,1,0.4166666666666667,2015,12,1.0
A690333,Transfer,0,0,0.6666666666666666,2014,10,
A688552,Adoption,0,0,0.25,2014,12,0.0
A698495,Adoption,1,0,1.0,2015,3,1.0
A658728,Adoption,0,1,0.3333333333333333,2013,11,1.0
A672515,Transfer,0,0,1.0,2014,2,0.0
A686675,Transfer,1,0,1.0,2014,11,1.0
