AnimalID,Name,DateTime,OutcomeType,AnimalType,SexuponOutcome,AgeuponOutcome,Breed,Color,year,month,neutralized,ColorMix,BreedMix
A707442,Conrad,2015-08-15 11:32:00,Adoption,Dog,Male,2.0,Pit Bull,Brown,2015,8,True,True,False
A682599,Shiva,2014-07-03 18:45:00,Adoption,Cat,Female,0.3333333333333333,Domestic Longhair,Calico,2014,7,True,False,False
A685452,,2014-08-11 15:17:00,Transfer,Dog,Female,0.3333333333333333,Dachshund,Red,2014,8,False,False,False
A688067,,2014-09-15 09:00:00,Transfer,Cat,Female,0.4166666666666667,Domestic Shorthair,Torbie,2014,9,False,False,False
A714069,Jupiter,2015-12-16 11:28:00,Adoption,Cat,Male,0.16666666666666666,Domestic Shorthair,Black Tabby,2015,12,True,True,False
A705924,Nero,2015-07-29 15:41:00,Transfer,Dog,Male,7.0,Chihuahua Shorthair,Brown,2015,7,True,True,False
A717167,Oscar,2016-01-23 16:05:00,Adoption,Cat,Male,4.0,Domestic Shorthair,Black,2016,1,True,True,False
A711639,,2015-09-10 11:35:00,Transfer,Cat,Female,0.057692307692307696,Domestic Shorthair,Tortie,2015,9,False,True,False
A716760,Dasher,2015-12-06 17:08:00,Adoption,Dog,Male,0.5,Border Collie,Black,2015,12,True,True,False
A709048,Libby,2015-08-08 17:58:00,Adoption,Dog,Female,0.4166666666666667,Labrador Retriever,Black,2015,8,False,True,False
A719048,Gracie,2016-01-13 11:43:00,Return_to_owner,Dog,Female,8.0,Maltese,White,2016,1,True,False,False
A707437,,2015-07-19 17:26:00,Adoption,Cat,Male,0.16666666666666666,Domestic Shorthair,Black,2015,7,True,False,False
A706387,Sugar,2015-07-06 18:05:00,Adoption,Cat,Female,0.08333333333333333,Domestic Shorthair,Blue Tabby,2015,7,True,True,False
A720668,,2016-02-15 18:30:00,Return_to_owner,Dog,Female,0.4166666666666667,Labrador Retriever,White,2016,2,True,False,False
A679341,Jethro,2014-05-31 13:58:00,Transfer,Cat,Male,0.08333333333333333,Domestic Shorthair,Brown Tabby,2014,5,False,False,False
A690519,,2014-10-23 09:00:00,Transfer,Cat,Male,0.3333333333333333,Domestic Shorthair,Blue Tabby,2014,10,False,False,False
A708769,Keyla,2015-08-01 11:54:00,Adoption,Dog,Female,1.0,Chihuahua Shorthair,White,2015,8,True,True,False
A681462,Samson,2014-08-10 16:25:00,Adoption,Dog,Male,2.0,Labrador Retriever,Black,2014,8,True,True,False
A666444,August,2013-11-04 15:50:00,Transfer,Cat,Female,11.0,Domestic Shorthair,Tortie,2013,11,True,False,False
A701153,,2015-06-25 09:31:00,Adoption,Dog,Male,0.16666666666666666,Dachshund,Tricolor,2015,6,True,False,False
A710071,Herb,2015-09-01 00:00:00,Transfer,Cat,Male,0.16666666666666666,Domestic Shorthair,White,2015,9,True,True,False
A714602,Stripey,2015-10-29 18:44:00,Adoption,Cat,Female,0.16666666666666666,Domestic Shorthair,Brown Tabby,2015,10,False,False,False
A700707,Sallie,2015-04-20 14:41:00,Adoption,Dog,Female,0.08333333333333333,Plott Hound,Black,2015,4,True,True,False
A702563,Klo Dog,2015-05-25 11:26:00,Return_to_owner,Dog,Female,7.0,Chihuahua Shorthair,White,2015,5,True,True,False
A679441,,2014-05-21 13:47:00,Transfer,Cat,Male,0.010958904109589041,Domestic Shorthair,Cream Tabby,2014,5,False,True,False
A715729,Milo,2015-11-09 13:24:00,Return_to_owner,Dog,Male,4.0,Siberian Husky,White,2015,11,True,True,False
A716575,Scarlet,2015-12-22 00:00:00,Transfer,Dog,Female,2.0,Australian Cattle Dog,Tan,2015,12,True,True,False
A714462,Pebbles,2015-11-14 13:26:00,Return_to_owner,Dog,Female,1.0,Pointer,White,2015,11,True,True,False
A717429,Cairo,2015-12-09 17:05:00,Return_to_owner,Dog,Male,2.0,Pit Bull,Brown Brindle,2015,12,True,True,False
A687336,,2014-09-03 18:51:00,Transfer,Cat,Female,0.07692307692307693,Domestic Medium Hair,Brown Tabby,2014,9,False,False,False
A713364,Calypso,2015-11-13 11:53:00,Transfer,Cat,Female,1.0,Domestic Shorthair,Black,2015,11,False,True,False
A701999,Luna,2015-05-12 17:39:00,Adoption,Dog,Female,2.0,Yorkshire Terrier,Tan,2015,5,True,True,False
A664304,,2013-10-03 12:27:00,Transfer,Cat,Male,0.8333333333333334,Domestic Shorthair,Orange Tabby,2013,10,False,False,False
A698066,Diva,2015-03-07 12:50:00,Transfer,Dog,Female,4.0,German Shepherd,White,2015,3,True,False,False
A680585,Olivia,2014-07-16 17:48:00,Adoption,Cat,Female,0.3333333333333333,Domestic Shorthair,Brown Tabby,2014,7,True,True,False
A699715,Ashley,2015-05-13 11:51:00,Transfer,Dog,Female,6.0,Catahoula,White,2015,5,True,True,False
A702246,,2015-05-15 17:47:00,Adoption,Dog,Female,0.75,Miniature Poodle,Black,2015,5,True,True,False
A711918,Jaqueline,2015-09-19 14:33:00,Adoption,Dog,Female,3.0,Jack Russell Terrier,Red,2015,9,True,False,False
A676430,Tabitha,2014-11-23 12:43:00,Adoption,Cat,Female,0.6666666666666666,Domestic Shorthair,Torbie,2014,11,True,False,False
A677577,Roxie,2014-05-01 16:12:00,Adoption,Dog,Female,0.8333333333333334,Queensland Heeler,Red Tick,2014,5,True,True,False
A683666,,2015-09-01 00:00:00,Transfer,Cat,Male,1.0,Domestic Shorthair,White,2015,9,True,True,False
A713754,Harper,2015-10-27 16:44:00,Adoption,Dog,Male,1.0,Catahoula,Blue Merle,2015,10,True,False,False
A703631,Hanley,2015-07-03 18:50:00,Adoption,Dog,Male,1.0,Labrador Retriever,Black,2015,7,True,True,False
A676209,Boomer,2014-07-24 15:02:00,Adoption,Dog,Male,0.25,Labrador Retriever,Yellow,2014,7,True,False,False
A667508,Brownie,2013-11-19 18:30:00,Return_to_owner,Dog,Male,6.0,Chihuahua Shorthair,Chocolate,2013,11,False,True,False
A671105,,2014-01-21 15:20:00,Transfer,Cat,,1.0,Domestic Longhair,Black,2014,1,,False,False
A676056,Swisha,2014-04-10 10:13:00,Return_to_owner,Dog,Male,2.0,American Pit Bull Terrier,Tan,2014,4,True,True,False
A667963,,2013-11-30 18:48:00,Adoption,Dog,Female,5.0,Dachshund Longhair,Tan,2013,11,True,True,False
A702207,,2015-05-10 17:16:00,Euthanasia,Cat,Male,12.0,Domestic Longhair,Orange Tabby,2015,5,True,True,False
A672065,Dutchess,2014-04-08 12:50:00,Adoption,Dog,Female,2.0,German Shepherd,Sable,2014,4,True,False,False
A688852,Buddy,2014-10-18 18:48:00,Adoption,Dog,Male,6.0,Labrador Retriever,Black,2014,10,True,True,False
A705885,Meowser,2015-06-27 18:24:00,Adoption,Cat,Male,0.25,Domestic Shorthair,Black,2015,6,True,False,False
A670949,Cassie,2014-02-01 11:13:00,Return_to_owner,Dog,Female,0.6666666666666666,Doberman Pinsch,Tricolor,2014,2,True,False,False
A665666,Teddy,2013-12-27 15:49:00,Transfer,Cat,Male,1.0,Domestic Shorthair,Black,2013,12,True,False,False
A714575,Isis,2015-10-31 15:18:00,Transfer,Cat,Female,15.0,Domestic Shorthair,Black,2015,10,False,False,False
A690480,,2014-10-22 17:46:00,Transfer,Dog,Female,0.057692307692307696,Pointer,Chocolate,2014,10,False,True,False
A691636,Dali,2014-11-13 16:07:00,Adoption,Dog,Male,0.4166666666666667,Dachshund,White,2014,11,True,True,False
A678482,,2014-05-14 19:15:00,Adoption,Dog,Male,2.0,Miniature Poodle,Black,2014,5,True,True,False
A687785,Bella,2014-12-30 09:38:00,Adoption,Dog,Female,2.0,Whippet,Brown Brindle,2014,12,True,True,False
A716839,Dino,2015-11-27 14:06:00,Return_to_owner,Dog,Male,2.0,Australian Shepherd,Brown Merle,2015,11,False,True,False
A718547,,2016-01-11 14:23:00,Adoption,Dog,Female,2.0,Labrador Retriever,Tan,2016,1,True,True,False
A687989,,2014-09-12 18:38:00,Transfer,Cat,Female,0.057692307692307696,Domestic Shorthair,Calico,2014,9,False,False,False
