AnimalID,Name,DateTime,OutcomeType,AnimalType,SexuponOutcome,AgeuponOutcome,Breed,Color,year,month,neutralized,Mix
A670658,Anders,2014-01-19 15:03:00,Transfer,Dog,Male,0.16666666666666666,Queensland Heeler,Black/White,2014,1,False,True
A708812,Munchkin,2015-09-18 15:19:00,Transfer,Cat,Female,1.0,Domestic Shorthair,White,2015,9,True,True
A705262,Jamaica,2015-08-15 14:22:00,Adoption,Dog,Female,2.0,Plott Hound,Brown Brindle/White,2015,8,True,False
A665781,Quattro,2013-10-28 16:32:00,Adoption,Dog,Male,0.8333333333333334,German Shepherd,Brown/White,2013,10,True,True
A676333,Trigger,2014-04-09 17:44:00,Return_to_owner,Dog,Male,0.16666666666666666,German Shepherd,Black/Brown,2014,4,True,True
A712750,Olive,2015-10-03 15:44:00,Transfer,Cat,Female,0.08333333333333333,Domestic Shorthair,Orange Tabby,2015,10,False,True
A718832,Nia,2016-01-15 17:31:00,Adoption,Dog,Female,0.5,American Staffordshire Terrier,Chocolate/White,2016,1,True,True
A698777,Chloe,2015-03-25 18:50:00,Adoption,Dog,Female,5.0,Chihuahua Shorthair,White/Tan,2015,3,True,True
A715348,Cymbale,2015-11-21 13:01:00,Adoption,Cat,Female,0.16666666666666666,Domestic Shorthair,Cream Tabby/White,2015,11,True,True
A708666,Jax,2015-07-30 14:30:00,Return_to_owner,Cat,Male,7.0,Russian Blue,Blue,2015,7,True,True
A718535,,2016-01-01 13:57:00,Euthanasia,Cat,Female,3.0,Domestic Shorthair,Calico,2016,1,True,True
A707341,Murphy,2015-07-15 15:25:00,Transfer,Dog,Male,0.3333333333333333,Labrador Retriever,Black/White,2015,7,False,True
A682532,,2014-07-03 17:01:00,Adoption,Cat,Female,0.16666666666666666,Domestic Shorthair,Torbie,2014,7,True,True
A666825,Jesse,2013-11-08 13:24:00,Return_to_owner,Dog,Male,5.0,Collie Smooth,Brown/Black,2013,11,True,False
A699723,Delgado,2015-04-11 16:01:00,Transfer,Dog,Male,3.0,Chihuahua Shorthair,Brown,2015,4,True,True
A668626,,2013-12-06 14:55:00,Euthanasia,Dog,Male,3.0,Labrador Retriever,Yellow,2013,12,False,True
A657085,Pony Boy,2013-10-24 11:22:00,Return_to_owner,Dog,Male,3.0,Pit Bull,Brown/White,2013,10,True,True
A682413,,2014-07-02 13:37:00,Transfer,Cat,Male,0.16666666666666666,Domestic Shorthair,Blue/White,2014,7,False,True
A702655,Mica,2015-08-11 00:00:00,Transfer,Cat,Male,0.3333333333333333,Domestic Shorthair,Black/White,2015,8,True,True
A707503,,2015-07-14 12:16:00,Transfer,Cat,Male,0.0576923076923077,Domestic Shorthair,Brown Tabby,2015,7,False,True
A697199,Pilar,2015-04-04 17:26:00,Adoption,Cat,Female,7.0,Domestic Shorthair,Blue Tabby,2015,4,True,True
A705598,,2015-06-23 13:25:00,Transfer,Cat,Male,0.16666666666666666,Domestic Shorthair,Orange Tabby,2015,6,False,True
A668388,Lucy,2013-12-09 15:04:00,Transfer,Cat,Female,0.16666666666666666,Domestic Shorthair,Brown Tabby,2013,12,False,True
A671181,,2014-01-21 15:15:00,Transfer,Cat,Male,4.0,Domestic Longhair,Black/White,2014,1,False,True
A676766,Ali,2014-05-28 15:52:00,Adoption,Cat,Male,2.0,Domestic Shorthair,Black/White,2014,5,True,True
A686716,Chester,2014-08-27 07:50:00,Return_to_owner,Dog,Male,12.0,Beagle,Tricolor,2014,8,True,False
A684475,Daisy,2014-08-05 11:15:00,Return_to_owner,Cat,Female,9.0,Domestic Shorthair,White/Black,2014,8,True,True
A701804,,2015-05-05 11:46:00,Transfer,Cat,Female,0.0576923076923077,Domestic Shorthair,Black,2015,5,False,True
A697852,Edith,2015-03-09 17:57:00,Adoption,Dog,Female,0.4166666666666667,German Shepherd,Black/Brown,2015,3,True,True
A666092,,2013-10-30 15:37:00,Euthanasia,Dog,Male,6.0,Pit Bull,Chocolate/White,2013,10,False,False
A684050,,2014-07-28 09:00:00,Transfer,Cat,Female,1.0,Domestic Shorthair,Tortie,2014,7,False,True
A710107,Caty,2015-10-19 18:58:00,Adoption,Cat,Female,0.25,Domestic Shorthair,Brown Tabby,2015,10,True,True
A682347,,2014-06-26 17:16:00,Transfer,Cat,Female,0.0576923076923077,Domestic Shorthair,Blue Tabby/White,2014,6,False,True
A701627,Gabe,2015-05-14 12:07:00,Adoption,Dog,Male,2.0,Blue Lacy,Gray/White,2015,5,True,True
A690902,Beth,2014-11-18 16:05:00,Adoption,Cat,Female,0.16666666666666666,Domestic Shorthair,Orange Tabby/White,2014,11,True,True
A712979,,2015-10-04 15:02:00,Transfer,Cat,Male,0.019230769230769232,Domestic Shorthair,Black,2015,10,False,True
A707687,Bashful,2015-08-16 13:52:00,Adoption,Cat,Female,0.16666666666666666,Domestic Shorthair,Calico,2015,8,True,True
A683443,,2014-07-18 16:23:00,Transfer,Dog,Male,1.0,Chihuahua Shorthair,Tan,2014,7,False,True
A597644,Lola,2014-09-16 14:05:00,Return_to_owner,Dog,Female,4.0,Black Mouth Cur,Tan/Black,2014,9,True,True
A682784,Sugar,2014-07-07 12:38:00,Adoption,Dog,Male,2.0,Dachshund,Brown/White,2014,7,True,False
A709863,Orangejello,2015-08-19 13:32:00,Transfer,Cat,Male,1.0,Domestic Shorthair,Orange Tabby/White,2015,8,False,True
A678506,Prec Punkin',2014-05-09 18:07:00,Euthanasia,Dog,Female,11.0,Yorkshire Terrier,Brown/Black,2014,5,True,True
A713029,Wilma,2015-10-06 15:07:00,Transfer,Cat,Female,0.08333333333333333,Domestic Shorthair,Black,2015,10,False,True
A712236,Bella,2015-09-23 11:45:00,Adoption,Dog,Female,2.0,Dachshund,Tan/White,2015,9,True,True
A683961,,2014-07-17 17:31:00,Transfer,Cat,,0.038461538461538464,Domestic Shorthair,Black,2014,7,,True
A714740,Chiquita,2015-10-27 18:32:00,Return_to_owner,Dog,Female,6.0,Maltese,White,2015,10,True,True
A691847,Hero,2014-12-08 15:53:00,Transfer,Dog,Male,0.5,Pointer,Black/White,2014,12,True,True
A711392,Molly,2015-09-08 15:31:00,Transfer,Dog,Female,0.16666666666666666,English Foxhound,Buff,2015,9,False,False
A705258,,2015-06-16 09:00:00,Transfer,Cat,,0.16666666666666666,Domestic Shorthair,Brown Tabby/White,2015,6,,True
A678172,Bella,2014-05-10 18:18:00,Adoption,Dog,Female,1.0,Chihuahua Shorthair,Red,2014,5,True,True
A676736,Chili,2014-04-30 17:55:00,Adoption,Dog,Male,0.16666666666666666,Vizsla,Brown,2014,4,True,True
A701575,Hastings,2016-01-29 14:53:00,Transfer,Dog,Male,2.0,Pit Bull,Brown Brindle/White,2016,1,True,True
A674913,,2014-03-25 18:15:00,Adoption,Dog,Female,3.0,German Shepherd,White,2014,3,True,False
A706446,Tootsie,2015-08-18 11:32:00,Return_to_owner,Cat,Female,1.0,Domestic Shorthair,Black,2015,8,False,True
A669540,Snookie,2013-12-28 16:17:00,Return_to_owner,Dog,Female,4.0,Yorkshire Terrier,Blue/Tan,2013,12,True,True
A709371,Abby,2015-08-19 14:28:00,Transfer,Dog,Female,2.0,Cardigan Welsh Corgi,Tan,2015,8,True,False
A681410,Nym,2014-06-22 17:22:00,Adoption,Cat,Female,0.25,Domestic Longhair,Brown Tabby,2014,6,True,False
A675021,,2014-03-21 17:09:00,Euthanasia,Cat,Female,1.0,Domestic Shorthair,Calico,2014,3,False,True
A704179,Zeus,2015-06-07 16:07:00,Adoption,Dog,Male,0.16666666666666666,Chow Chow,Black,2015,6,True,False
A717839,,2015-12-20 19:38:00,Transfer,Cat,Female,2.0,Domestic Shorthair,Black/White,2015,12,True,True
A700740,Charlie,2015-12-17 12:10:00,Adoption,Dog,Male,1.0,Chihuahua Shorthair,White,2015,12,True,False
A712376,,2015-09-22 12:10:00,Euthanasia,Cat,,0.038461538461538464,Domestic Shorthair,Blue Tabby,2015,9,,True
A703952,Taco,2015-05-30 18:56:00,Transfer,Cat,,0.07692307692307693,Siamese,Seal Point,2015,5,,True
A713690,,2015-10-12 09:00:00,Transfer,Cat,Male,2.0,Domestic Shorthair,Blue Tabby,2015,10,False,True
A691838,Avaddon,2015-02-09 17:17:00,Euthanasia,Dog,Male,12.0,Pit Bull,Brown Brindle,2015,2,True,True
A687789,,2014-09-14 18:51:00,Adoption,Dog,Male,1.0,Dachshund,Brown/White,2014,9,True,False
A704754,Arthur,2015-07-18 15:37:00,Adoption,Cat,Male,0.16666666666666666,Domestic Shorthair,Black,2015,7,True,True
A707531,,2015-07-14 15:04:00,Transfer,Cat,Male,0.038461538461538464,Domestic Shorthair,Black,2015,7,False,True
A677594,,2014-04-26 18:00:00,Transfer,Dog,Female,0.25,Labrador Retriever,Black/White,2014,4,False,True
A667155,,2013-11-18 15:56:00,Adoption,Cat,Female,0.25,Domestic Medium Hair,Calico,2013,11,True,True
A717147,Freeway,2015-12-15 14:16:00,Adoption,Dog,Male,0.4166666666666667,Plott Hound,Brown Brindle/White,2015,12,True,True
A687012,Chloe,2016-02-07 14:54:00,Adoption,Dog,Female,3.0,Boxer,Black,2016,2,True,False
A676200,Georgia,2014-04-10 11:49:00,Transfer,Dog,Female,7.0,Lhasa Apso,White/Black,2014,4,True,False
A676680,Hero,2015-02-06 18:56:00,Euthanasia,Dog,Female,2.0,German Shepherd,Black/Tan,2015,2,True,True
A688443,Thelma,2014-12-29 15:11:00,Adoption,Cat,Female,0.3333333333333333,Domestic Shorthair,Black,2014,12,True,True
A715261,Darcy,2015-11-15 14:06:00,Adoption,Dog,Female,9.0,Beagle,White/Brown,2015,11,True,False
A717008,Taz,2015-12-06 15:12:00,Transfer,Dog,Male,0.5833333333333334,Border Collie,Black/White,2015,12,True,True
A683416,,2014-07-14 19:28:00,Adoption,Cat,Male,0.16666666666666666,Domestic Shorthair,Black/White,2014,7,True,True
A690658,,2014-10-24 09:00:00,Transfer,Cat,Male,3.0,Domestic Shorthair,Black/White,2014,10,False,True
A695155,,2015-01-14 16:18:00,Adoption,Dog,Male,3.0,Border Terrier,Gray,2015,1,True,True
A679721,Poppy,2014-05-29 17:43:00,Adoption,Dog,Male,5.0,Chihuahua Shorthair,Tan/White,2014,5,True,True
A719113,Dexter,2016-01-28 12:05:00,Transfer,Dog,Male,5.0,Boxer,Brown Brindle/White,2016,1,True,True
A665298,,2013-10-16 11:50:00,Transfer,Cat,Female,0.038461538461538464,Domestic Medium Hair,Blue,2013,10,False,True
A708351,,2015-07-26 14:40:00,Transfer,Cat,,0.038461538461538464,Domestic Shorthair,Black,2015,7,,True
A670681,Matty,2014-01-30 14:41:00,Transfer,Cat,Female,4.0,Domestic Shorthair,Torbie,2014,1,True,True
A699990,Chubbs,2015-04-08 18:06:00,Return_to_owner,Dog,Male,4.0,Cairn Terrier,Tan/White,2015,4,True,True
A707767,Lilly,2015-07-19 18:27:00,Adoption,Cat,Male,0.16666666666666666,Domestic Shorthair,Brown Tabby,2015,7,True,True
A668362,Minnie,2013-12-20 12:02:00,Return_to_owner,Dog,Female,2.0,Chihuahua Shorthair,Black/Tan,2013,12,True,True
A674577,Santiago,2014-03-23 18:43:00,Adoption,Dog,Male,2.0,Dogo Argentino,White,2014,3,True,True
A674802,Franklin,2014-03-29 11:26:00,Return_to_owner,Dog,Male,9.0,Dachshund,Black/Brown,2014,3,True,True
A672410,Myles,2014-02-11 18:16:00,Return_to_owner,Dog,Male,5.0,Beagle,Tricolor,2014,2,True,True
A657753,Wiz,2013-12-06 16:53:00,Euthanasia,Dog,Male,1.0,Chihuahua Shorthair,Yellow Brindle/White,2013,12,True,False
A663339,Abby,2013-10-20 16:37:00,Adoption,Dog,Female,2.0,Pit Bull,Fawn/White,2013,10,True,True
A678229,,2014-05-06 15:59:00,Transfer,Cat,Male,0.0576923076923077,Domestic Shorthair,Brown Tabby,2014,5,False,True
A698694,Boss,2015-07-06 15:48:00,Transfer,Dog,Male,0.4166666666666667,Pit Bull,White/Brown,2015,7,False,True
A695971,,2015-01-26 16:23:00,Euthanasia,Cat,Male,6.0,Domestic Shorthair,Orange Tabby,2015,1,False,True
A674233,Missy,2014-03-22 15:38:00,Adoption,Dog,Female,1.0,Chihuahua Shorthair,Tan,2014,3,True,True
A713392,Basil,2015-11-05 00:00:00,Transfer,Dog,Male,0.25,Chihuahua Shorthair,Black/White,2015,11,False,True
A713968,Katydid,2015-10-24 18:29:00,Transfer,Cat,Female,0.08333333333333333,Domestic Longhair,Calico,2015,10,False,True
A701428,Kiki,2015-05-03 16:59:00,Return_to_owner,Dog,Female,3.0,Chihuahua Shorthair,Brown,2015,5,True,True
A676146,Desmo,2014-04-14 17:00:00,Return_to_owner,Dog,Male,5.0,Dachshund,Black,2014,4,True,True
A679259,Pablo,2014-05-26 11:22:00,Adoption,Dog,Male,8.0,Miniature Schnauzer,Black,2014,5,True,False
A688223,,2014-09-21 14:15:00,Adoption,Dog,Female,0.16666666666666666,Labrador Retriever,Black/White,2014,9,True,True
A691968,,2014-11-14 11:57:00,Euthanasia,Cat,Female,7.0,Domestic Shorthair,Tortie,2014,11,False,True
A688871,Pandora,2014-10-03 18:43:00,Adoption,Cat,Female,0.16666666666666666,Domestic Shorthair,Black,2014,10,False,True
A674530,Jackson,2014-09-11 17:03:00,Adoption,Dog,Male,5.0,Pit Bull,Black,2014,9,True,False
A718604,Watson,2016-01-31 17:22:00,Adoption,Dog,Male,1.0,Pit Bull,White/Brown,2016,1,True,True
A686520,,2014-08-24 09:00:00,Transfer,Cat,Male,0.25,Domestic Shorthair,Brown Tabby,2014,8,False,True
A699094,Levon,2015-03-22 18:40:00,Return_to_owner,Dog,Male,2.0,Chihuahua Shorthair,Brown/White,2015,3,True,True
A394547,Snickerdoodl,2015-01-25 11:15:00,Return_to_owner,Dog,Female,9.0,Labrador Retriever,Chocolate/White,2015,1,True,True
A662685,Lola,2015-10-22 17:18:00,Adoption,Dog,Female,3.0,Pit Bull,Red/White,2015,10,True,True
A713977,Jumbly,2015-10-26 18:39:00,Return_to_owner,Cat,Female,3.0,Domestic Shorthair,Calico,2015,10,True,True
A707781,Pearl,2016-01-15 14:03:00,Adoption,Dog,Female,1.0,Chihuahua Shorthair,Black/White,2016,1,True,False
A694699,Pebbles,2015-01-09 15:28:00,Transfer,Dog,Female,2.0,Chihuahua Shorthair,Black/Tan,2015,1,True,True
A696350,Minnie,2015-12-15 17:30:00,Return_to_owner,Dog,Female,1.0,Pit Bull,Brown Brindle,2015,12,True,False
A679102,Merlin,2014-06-10 16:41:00,Transfer,Cat,Male,2.0,Siamese,Flame Point,2014,6,True,True
A698341,Parsley,2015-05-16 15:19:00,Return_to_owner,Dog,Female,2.0,Tibetan Terrier,Brown,2015,5,True,True
A681481,,2014-06-18 09:00:00,Transfer,Cat,Female,2.0,Domestic Shorthair,Blue/White,2014,6,False,True
A714177,,2015-10-20 09:00:00,Transfer,Cat,,0.25,Domestic Shorthair,Tortie,2015,10,,True
A689601,Abby,2014-11-23 18:55:00,Adoption,Dog,Female,0.08333333333333333,Miniature Pinscher,Tricolor,2014,11,True,False
A685062,,2014-08-05 13:20:00,Adoption,Cat,Male,0.16666666666666666,Domestic Shorthair,Orange Tabby/White,2014,8,True,True
A672453,,2014-02-16 19:38:00,Adoption,Cat,Male,0.8333333333333334,Domestic Medium Hair,Cream Tabby,2014,2,True,True
A719480,Ricky,2016-02-09 16:31:00,Transfer,Cat,Female,2.0,Domestic Medium Hair,Brown Tabby/White,2016,2,True,True
A702880,Tom,2015-06-28 15:33:00,Adoption,Cat,Female,0.16666666666666666,Domestic Medium Hair,Calico,2015,6,True,True
A714494,Amarillo,2015-11-01 19:11:00,Adoption,Dog,Male,0.5,Labrador Retriever,Yellow,2015,11,True,True
A711853,Nala,2015-11-07 19:14:00,Adoption,Cat,Female,0.16666666666666666,Domestic Shorthair,Brown Tabby,2015,11,True,True
A688720,,2014-09-26 18:09:00,Adoption,Dog,Female,1.0,Dachshund,Tan,2014,9,True,True
A689690,Winnie,2014-10-22 14:37:00,Transfer,Dog,Female,0.5,Dachshund,Brown/White,2014,10,False,True
A679915,Luna,2014-06-01 17:48:00,Adoption,Cat,Female,1.0,Domestic Shorthair,Black/White,2014,6,True,True
A687991,,2014-09-12 18:38:00,Transfer,Cat,Male,0.0576923076923077,Domestic Shorthair,Calico,2014,9,False,True
A707896,Tokyo,2016-02-19 14:58:00,Adoption,Cat,Male,2.0,Domestic Shorthair,Brown Tabby,2016,2,True,True
A702014,Diamond,2015-11-14 13:30:00,Adoption,Dog,Female,0.9166666666666666,Blue Lacy,Blue/White,2015,11,True,True
A673626,,2014-03-03 16:58:00,Transfer,Dog,Male,0.25,Rat Terrier,Tricolor,2014,3,True,True
A652097,Minnie,2014-02-10 12:34:00,Return_to_owner,Dog,Female,2.0,Dachshund Longhair,Brown,2014,2,True,False
A685180,Neville,2014-09-27 12:25:00,Transfer,Dog,Male,2.0,Pit Bull,Red,2014,9,True,True
A707442,Conrad,2015-08-15 11:32:00,Adoption,Dog,Male,2.0,Pit Bull,Brown/White,2015,8,True,True
A682599,Shiva,2014-07-03 18:45:00,Adoption,Cat,Female,0.3333333333333333,Domestic Longhair,Calico,2014,7,True,False
A685452,,2014-08-11 15:17:00,Transfer,Dog,Female,0.3333333333333333,Dachshund,Red,2014,8,False,False
A688067,,2014-09-15 09:00:00,Transfer,Cat,Female,0.4166666666666667,Domestic Shorthair,Torbie,2014,9,False,True
A714069,Jupiter,2015-12-16 11:28:00,Adoption,Cat,Male,0.16666666666666666,Domestic Shorthair,Black Tabby/White,2015,12,True,True
A705924,Nero,2015-07-29 15:41:00,Transfer,Dog,Male,7.0,Chihuahua Shorthair,Brown/White,2015,7,True,True
A717167,Oscar,2016-01-23 16:05:00,Adoption,Cat,Male,4.0,Domestic Shorthair,Black/White,2016,1,True,True
A711639,,2015-09-10 11:35:00,Transfer,Cat,Female,0.0576923076923077,Domestic Shorthair,Tortie/Calico,2015,9,False,True
A716760,Dasher,2015-12-06 17:08:00,Adoption,Dog,Male,0.5,Border Collie,Black/White,2015,12,True,True
A709048,Libby,2015-08-08 17:58:00,Adoption,Dog,Female,0.4166666666666667,Labrador Retriever,Black/White,2015,8,False,True
A719048,Gracie,2016-01-13 11:43:00,Return_to_owner,Dog,Female,8.0,Maltese,White,2016,1,True,False
A707437,,2015-07-19 17:26:00,Adoption,Cat,Male,0.16666666666666666,Domestic Shorthair,Black,2015,7,True,True
A706387,Sugar,2015-07-06 18:05:00,Adoption,Cat,Female,0.08333333333333333,Domestic Shorthair,Blue Tabby/White,2015,7,True,True
A720668,,2016-02-15 18:30:00,Return_to_owner,Dog,Female,0.4166666666666667,Labrador Retriever,White,2016,2,True,True
A679341,Jethro,2014-05-31 13:58:00,Transfer,Cat,Male,0.08333333333333333,Domestic Shorthair,Brown Tabby,2014,5,False,True
A690519,,2014-10-23 09:00:00,Transfer,Cat,Male,0.3333333333333333,Domestic Shorthair,Blue Tabby,2014,10,False,True
A708769,Keyla,2015-08-01 11:54:00,Adoption,Dog,Female,1.0,Chihuahua Shorthair,White/Tan,2015,8,True,True
A681462,Samson,2014-08-10 16:25:00,Adoption,Dog,Male,2.0,Labrador Retriever,Black/Brown,2014,8,True,False
A666444,August,2013-11-04 15:50:00,Transfer,Cat,Female,11.0,Domestic Shorthair,Tortie,2013,11,True,True
A701153,,2015-06-25 09:31:00,Adoption,Dog,Male,0.16666666666666666,Dachshund,Tricolor,2015,6,True,False
A710071,Herb,2015-09-01 00:00:00,Transfer,Cat,Male,0.16666666666666666,Domestic Shorthair,White/Black,2015,9,True,True
A714602,Stripey,2015-10-29 18:44:00,Adoption,Cat,Female,0.16666666666666666,Domestic Shorthair,Brown Tabby,2015,10,False,True
A700707,Sallie,2015-04-20 14:41:00,Adoption,Dog,Female,0.08333333333333333,Plott Hound,Black/Brown Brindle,2015,4,True,False
A702563,Klo Dog,2015-05-25 11:26:00,Return_to_owner,Dog,Female,7.0,Chihuahua Shorthair,White/Tan,2015,5,True,False
A679441,,2014-05-21 13:47:00,Transfer,Cat,Male,0.010958904109589041,Domestic Shorthair,Cream Tabby/White,2014,5,False,True
A715729,Milo,2015-11-09 13:24:00,Return_to_owner,Dog,Male,4.0,Siberian Husky,White/Gray,2015,11,True,False
A716575,Scarlet,2015-12-22 00:00:00,Transfer,Dog,Female,2.0,Australian Cattle Dog,Tan/White,2015,12,True,True
A714462,Pebbles,2015-11-14 13:26:00,Return_to_owner,Dog,Female,1.0,Pointer,White/Black,2015,11,True,True
A717429,Cairo,2015-12-09 17:05:00,Return_to_owner,Dog,Male,2.0,Pit Bull,Brown Brindle/White,2015,12,True,True
A687336,,2014-09-03 18:51:00,Transfer,Cat,Female,0.07692307692307693,Domestic Medium Hair,Brown Tabby,2014,9,False,True
A713364,Calypso,2015-11-13 11:53:00,Transfer,Cat,Female,1.0,Domestic Shorthair,Black/White,2015,11,False,True
A701999,Luna,2015-05-12 17:39:00,Adoption,Dog,Female,2.0,Yorkshire Terrier,Tan/Silver,2015,5,True,False
A664304,,2013-10-03 12:27:00,Transfer,Cat,Male,0.8333333333333334,Domestic Shorthair,Orange Tabby,2013,10,False,True
A698066,Diva,2015-03-07 12:50:00,Transfer,Dog,Female,4.0,German Shepherd,White,2015,3,True,True
A680585,Olivia,2014-07-16 17:48:00,Adoption,Cat,Female,0.3333333333333333,Domestic Shorthair,Brown Tabby/White,2014,7,True,True
A699715,Ashley,2015-05-13 11:51:00,Transfer,Dog,Female,6.0,Catahoula,White/Tan,2015,5,True,False
A702246,,2015-05-15 17:47:00,Adoption,Dog,Female,0.75,Miniature Poodle,Black/White,2015,5,True,True
A711918,Jaqueline,2015-09-19 14:33:00,Adoption,Dog,Female,3.0,Jack Russell Terrier,Red,2015,9,True,False
A676430,Tabitha,2014-11-23 12:43:00,Adoption,Cat,Female,0.6666666666666666,Domestic Shorthair,Torbie,2014,11,True,True
A677577,Roxie,2014-05-01 16:12:00,Adoption,Dog,Female,0.8333333333333334,Queensland Heeler,Red Tick/Black,2014,5,True,False
A683666,,2015-09-01 00:00:00,Transfer,Cat,Male,1.0,Domestic Shorthair,White/Cream Tabby,2015,9,True,True
A713754,Harper,2015-10-27 16:44:00,Adoption,Dog,Male,1.0,Catahoula,Blue Merle,2015,10,True,True
A703631,Hanley,2015-07-03 18:50:00,Adoption,Dog,Male,1.0,Labrador Retriever,Black/White,2015,7,True,True
A676209,Boomer,2014-07-24 15:02:00,Adoption,Dog,Male,0.25,Labrador Retriever,Yellow,2014,7,True,True
A667508,Brownie,2013-11-19 18:30:00,Return_to_owner,Dog,Male,6.0,Chihuahua Shorthair,Chocolate/Tan,2013,11,False,True
A671105,,2014-01-21 15:20:00,Transfer,Cat,,1.0,Domestic Longhair,Black,2014,1,,True
A676056,Swisha,2014-04-10 10:13:00,Return_to_owner,Dog,Male,2.0,American Pit Bull Terrier,Tan/White,2014,4,True,True
A667963,,2013-11-30 18:48:00,Adoption,Dog,Female,5.0,Dachshund Longhair,Tan/White,2013,11,True,True
A702207,,2015-05-10 17:16:00,Euthanasia,Cat,Male,12.0,Domestic Longhair,Orange Tabby/White,2015,5,True,True
A672065,Dutchess,2014-04-08 12:50:00,Adoption,Dog,Female,2.0,German Shepherd,Sable,2014,4,True,True
A688852,Buddy,2014-10-18 18:48:00,Adoption,Dog,Male,6.0,Labrador Retriever,Black/White,2014,10,True,True
A705885,Meowser,2015-06-27 18:24:00,Adoption,Cat,Male,0.25,Domestic Shorthair,Black,2015,6,True,True
A670949,Cassie,2014-02-01 11:13:00,Return_to_owner,Dog,Female,0.6666666666666666,Doberman Pinsch,Tricolor,2014,2,True,True
A665666,Teddy,2013-12-27 15:49:00,Transfer,Cat,Male,1.0,Domestic Shorthair,Black,2013,12,True,True
A714575,Isis,2015-10-31 15:18:00,Transfer,Cat,Female,15.0,Domestic Shorthair,Black,2015,10,False,True
A690480,,2014-10-22 17:46:00,Transfer,Dog,Female,0.0576923076923077,Pointer,Chocolate/White,2014,10,False,True
A691636,Dali,2014-11-13 16:07:00,Adoption,Dog,Male,0.4166666666666667,Dachshund,White/Brown,2014,11,True,False
A678482,,2014-05-14 19:15:00,Adoption,Dog,Male,2.0,Miniature Poodle,Black/White,2014,5,True,False
A687785,Bella,2014-12-30 09:38:00,Adoption,Dog,Female,2.0,Whippet,Brown Brindle/White,2014,12,True,True
A716839,Dino,2015-11-27 14:06:00,Return_to_owner,Dog,Male,2.0,Australian Shepherd,Brown Merle/White,2015,11,False,True
A718547,,2016-01-11 14:23:00,Adoption,Dog,Female,2.0,Labrador Retriever,Tan/White,2016,1,True,True
A687989,,2014-09-12 18:38:00,Transfer,Cat,Female,0.0576923076923077,Domestic Shorthair,Calico,2014,9,False,True
A694408,Emma,2015-05-28 13:14:00,Transfer,Dog,Female,1.0,Pit Bull,Brown Tiger/White,2015,5,True,True
A698940,,2015-03-21 09:00:00,Transfer,Cat,Male,2.0,Domestic Shorthair,Brown Tabby/White,2015,3,False,True
A666074,Jackson,2013-10-30 15:14:00,Transfer,Cat,Male,0.07692307692307693,Domestic Shorthair,Brown Tabby,2013,10,False,True
